season,player_id,player_name,nationality,batting_type,bowling_type,matches,total_runs,total_balls_faced,total_wickets,total_overs,total_runs_conceded,total_mvp,mvp_std,batting_avg,true_strike_rate,bowling_avg,economy,consistency_score
2020/21,152,Ravindra Jadeja,India,Left-hand bat,Slow left-arm orthodox,1,44,23,0,0.0,0,91.17200000000001,,44.0,191.30434782608697,inf,0.0,0.0
2020/21,153,Munaf Patel,India,Right-hand bat,Right-arm medium-fast,4,1,8,3,13.1,97,73.31363170731707,10.320327063473012,0.25,12.5,32.333333333333336,7.404580152671756,9.689615395420216
2020/21,156,Shahid Afridi,Pakistan,Right-hand bat,Right-arm Leg-Break,3,70,30,0,9.0,58,199.0086,93.53381175446664,23.333333333333332,233.33333333333334,inf,6.444444444444445,1.0691320937770354
2020/21,161,Dwayne Bravo,West Indies,Right-hand bat,Right-arm medium,3,6,22,3,12.0,82,72.4412,22.905392068535594,2.0,27.27272727272727,27.333333333333332,6.833333333333333,4.3657842529299815
2020/21,172,Shoaib Malik,Pakistan,Right-hand bat,Right-arm offbreak,10,203,168,2,9.0,60,347.0194,39.687252149496686,20.3,120.83333333333333,30.0,6.666666666666667,2.5197007750325744
2020/21,182,Ross Taylor,New Zealand,Right-hand bat,Right-arm offbreak,1,0,4,0,0.0,0,0.0,,0.0,0.0,inf,0.0,0.0
2020/21,198,Manish Pandey,India,Right-hand bat,Right-arm medium,1,2,8,0,0.0,0,0.5,,2.0,25.0,inf,0.0,0.0
2020/21,217,Ben Cutting,Australia,Right-hand bat,Right-arm medium-fast,15,280,179,4,29.0,222,606.6015666666667,34.72021776944376,18.666666666666668,156.4245810055866,55.5,7.655172413793103,2.8801662669295545
2020/21,219,Ben Laughlin,Australia,Right-hand bat,Right-arm medium-fast,8,8,11,1,29.1,259,55.27157204301075,7.54926397650451,1.0,72.72727272727273,259.0,8.900343642611684,13.246324451129128
2020/21,223,Steven Smith,Australia,Right-hand bat,Right-arm Leg-Break,3,82,70,0,0.0,0,138.7266,22.63559633232577,27.333333333333332,117.14285714285715,inf,0.0,4.417820433437866
2020/21,224,Moises Henriques,Australia,Right-hand bat,Right-arm fast-medium,8,216,140,3,5.0,31,464.361,39.69199377750595,27.0,154.2857142857143,10.333333333333334,6.2,2.5193997701539375
2020/21,232,Tom Cooper,Australia,Right-hand bat,Right-arm offbreak,5,61,66,0,0.0,0,82.363,13.984486804491613,12.2,92.42424242424242,inf,0.0,7.150780818634078
2020/21,233,Callum Ferguson,Australia,Right-hand bat,Right-arm medium,15,405,327,0,0.0,0,629.3934,32.71584896675354,27.0,123.8532110091743,inf,0.0,3.056622498215525
2020/21,234,Daniel Christian,Australia,Right-hand bat,Right-arm fast-medium,16,272,149,15,45.2,399,975.6958099921321,51.71189781343674,17.0,182.5503355704698,26.6,8.827433628318584,1.9337909500203287
2020/21,250,Aaron Finch,Australia,Right-hand bat,Slow left-arm orthodox,20,411,333,0,0.0,0,665.8862,38.26971103448591,20.55,123.42342342342343,inf,0.0,2.613032534002862
2020/21,262,Steve O Keefe,Australia,Right-hand bat,Slow left-arm orthodox,14,18,22,15,49.0,340,357.3698,25.726796667576455,1.2857142857142858,81.81818181818183,22.666666666666668,6.938775510204081,3.8869977203975123
2020/21,274,Martin Guptill,New Zealand,Right-hand bat,Right-arm offbreak,13,403,264,0,0.0,0,840.3193,61.56824201008741,31.0,152.65151515151516,inf,0.0,1.6242139897971406
2020/21,278,Tim Southee,New Zealand,Right-hand bat,Right-arm medium-fast,12,23,19,21,44.1,351,551.2315406504065,23.396762717371,1.9166666666666667,121.05263157894737,16.714285714285715,7.959183673469387,4.274095575015371
2020/21,286,Kane Richardson,Australia,Right-hand bat,Right-arm fast-medium,16,35,26,22,54.5,461,546.8679582994488,23.00443060426915,2.1875,134.6153846153846,20.954545454545453,8.458715596330276,4.3469887049254785
2020/21,289,Jon Holland,Australia,Right-hand bat,Slow left-arm orthodox,1,5,5,0,2.0,20,-4.0,,5.0,100.0,inf,10.0,0.0
2020/21,293,Johan Botha,South Africa,Right-hand bat,Right-arm offbreak,5,2,2,3,11.0,86,51.333333333333336,19.62622961469902,0.4,100.0,28.666666666666668,7.818181818181818,5.095222157449194
2020/21,321,Fidel Edwards,West Indies,Right-hand bat,Right-arm fast-medium,2,1,2,1,6.0,48,17.75,18.2079996155536,0.5,50.0,48.0,8.0,5.492091504361534
2020/21,331,Mashrafe Mortaza,Bangladesh,Right-hand bat,Right-arm fast-medium,4,13,11,7,16.0,129,174.41649999999998,51.36842205800337,3.25,118.18181818181819,18.428571428571427,8.0625,1.946721273374596
2020/21,332,Angelo Mathews,Sri Lanka,Right-hand bat,Right-arm medium,12,104,127,5,20.1,162,188.58142903225806,19.32948867017926,8.666666666666666,81.88976377952756,32.4,8.059701492537313,5.173442593661357
2020/21,360,Bhuvneshwar Kumar,India,Right-hand bat,Right-arm medium,5,0,0,4,18.0,115,110.5,22.17867782353132,0.0,0.0,28.75,6.388888888888889,4.508835053003077
2020/21,371,Sudeep Tyagi,India,Right-hand bat,Right-arm medium,2,0,0,0,2.0,21,-19.0,2.1213203435596424,0.0,0.0,inf,10.5,47.14045207910317
